anio,X,Y,generico_denuncia,especifico_denuncia,modalidad_denuncia,geometry,distrito
2017,-76.93967765,-12.03567506,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-76.93967765 -12.03567506),ATE
2017,-76.88632216,-12.01952488,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-76.88632216 -12.01952488),ATE
2017,-76.88572141,-12.02000204,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-76.88572141 -12.02000204),ATE
2017,-77.03724382,-12.05012316,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.03724382 -12.05012316),LIMA
2017,-77.05944452,-12.0392062,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.05944452 -12.0392062),LIMA
2017,-77.0635635,-12.0372025,,,,POINT (-77.0635635 -12.0372025),LIMA
2017,-77.05084531,-12.0395517,DELITOS CONTRA LA SEGURIDAD PÚBLICA,SALUD PUBLICA,MICROCOMERCIALIZACION DE DROGAS,POINT (-77.05084531 -12.0395517),LIMA
2017,-77.0020312,-12.0307357,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.0020312 -12.0307357),EL AGUSTINO
2017,-77.05790297,-12.03847423,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.05790297 -12.03847423),LIMA
2017,-77.0336228,-12.0493478,,,,POINT (-77.0336228 -12.0493478),LIMA
2017,-77.05151042,-12.03928364,,,,POINT (-77.05151042 -12.03928364),LIMA
2017,-77.05009836,-12.03787252,,,,POINT (-77.05009836 -12.03787252),LIMA
2017,-77.06670978,-12.04889513,,,,POINT (-77.06670978 -12.04889513),LIMA
2017,-77.06085348,-12.05190012,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.06085348 -12.05190012),LIMA
2017,-77.06714079,-12.04525036,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.06714079 -12.04525036),LIMA
2017,-77.07211533,-12.04908456,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.07211533 -12.04908456),LIMA
2017,-77.0699597,-12.0489655,,,,POINT (-77.0699597 -12.0489655),LIMA
2017,-77.059207,-12.0482813,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO A MANO ARMADA,POINT (-77.059207 -12.0482813),LIMA
2017,-77.0709552,-12.052962,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.0709552 -12.052962),LIMA
2017,-77.0639071,-12.0533417,,,,POINT (-77.0639071 -12.0533417),LIMA
2017,-77.06695745,-12.05255221,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.06695745 -12.05255221),LIMA
2017,-77.06022373,-12.05092085,,,,POINT (-77.06022373 -12.05092085),LIMA
2017,-77.07296748,-12.04845174,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.07296748 -12.04845174),LIMA
2017,-77.07070971,-12.05358915,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.07070971 -12.05358915),LIMA
2017,-77.06597839,-12.05198113,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.06597839 -12.05198113),LIMA
2017,-77.0462778,-12.04522841,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.0462778 -12.04522841),LIMA
2017,-77.06519197,-12.04837184,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.06519197 -12.04837184),LIMA
2017,-77.05969378,-12.04890619,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.05969378 -12.04890619),LIMA
2017,-77.0586863,-12.0526319,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-77.0586863 -12.0526319),LIMA
2017,-77.05969378,-12.04890619,DELITOS CONTRA EL PATRIMONIO,ESTAFA Y OTRAS DEFRAUDACIONES,ESTAFA,POINT (-77.05969378 -12.04890619),LIMA
2017,-77.0713007,-12.0490789,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.0713007 -12.0490789),LIMA
2017,-77.05947346,-12.04916416,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.05947346 -12.04916416),LIMA
2017,-77.05380218,-12.04887251,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.05380218 -12.04887251),LIMA
2017,-77.0685188,-12.057728,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.0685188 -12.057728),LIMA
2017,-77.0699597,-12.0489655,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.0699597 -12.0489655),LIMA
2017,-77.06515342,-12.05449329,,,,POINT (-77.06515342 -12.05449329),LIMA
2017,-77.07625916,-12.03834763,,,,POINT (-77.07625916 -12.03834763),LIMA
2017,-77.07719691,-12.03738127,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.07719691 -12.03738127),LIMA
2017,-77.07985921,-12.03835192,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO,POINT (-77.07985921 -12.03835192),LIMA
2017,-77.07127429,-12.03603969,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO AGRAVADO,POINT (-77.07127429 -12.03603969),LIMA
2017,-77.07735508,-12.03846746,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.07735508 -12.03846746),LIMA
2017,-77.07626796,-12.03681415,,,,POINT (-77.07626796 -12.03681415),LIMA
2017,-77.07863458,-12.03850304,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.07863458 -12.03850304),LIMA
2017,-77.05496027,-11.98426893,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.05496027 -11.98426893),INDEPENDENCIA
2017,-77.05164557,-11.98135727,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO A MANO ARMADA,POINT (-77.05164557 -11.98135727),INDEPENDENCIA
2017,-77.05761199,-11.9790268,,,,POINT (-77.05761199 -11.9790268),INDEPENDENCIA
2017,-77.046252,-11.98142715,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.046252 -11.98142715),INDEPENDENCIA
2017,-77.05481488,-11.97877706,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.05481488 -11.97877706),INDEPENDENCIA
2017,-77.05440052,-11.98524652,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-77.05440052 -11.98524652),INDEPENDENCIA
2017,-77.03505291,-11.97764587,DELITOS CONTRA EL PATRIMONIO,ROBO,ROBO AGRAVADO,POINT (-77.03505291 -11.97764587),INDEPENDENCIA
2017,-76.8513056,-12.20723904,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO,POINT (-76.8513056 -12.20723904),PACHACAMAC
2017,-76.85456474,-12.2291009,DELITOS CONTRA EL PATRIMONIO,HURTO,HURTO DE VEHICULO,POINT (-76.85456474 -12.2291009),PACHACAMAC
